,Frame,t [s],thickness,q_y,q_y Fehler,Distance,Radius,2R/D,Coverage,Porosity,Particle Density,Fehler Distance,Fehler Radius,Fehler 2R/D,Fehler Coverage,Fehler Porosity,Fehler Particle Density
58,590,29.5,1.7088936999999997,0.7266872,0.002636227,8.64634096648405,3.75218227442713,0.86792373536315,0.683159922019343,0.544560051987105,15445.5953428229,0.0313666148337983,0.00907460983741581,5.247659022812E-4,0.00413053610903767,5.50738147871689E-4,18.677497678884
59,600,30.0,1.7378580000000001,0.7206973000000001,0.002697166,8.7182029226134,3.79414057225719,0.87039510457273,0.68705598813625,0.541962674575833,15192.0164384581,0.0326273464656708,0.00946622754630608,5.42900161325246E-4,0.00428544237943239,5.71392317257652E-4,18.9517338320588
60,610,30.5,1.7668223,0.7106958999999999,0.002580433,8.84089145185668,3.85081216943069,0.871136624717179,0.688227141027191,0.541181905981873,14773.2909688841,0.032099985453397,0.0093211576604476,5.27161639253588E-4,0.00416475369705059,5.55300492940079E-4,17.8798871803962
61,620,31.0,1.7957866000000002,0.7050002,0.002479121,8.912317056335,3.89256613784608,0.873525058240425,0.692006199666147,0.538662533555902,14537.4459145039,0.0313400086595979,0.00912542762987691,5.11955957816292E-4,0.00405571303791247,5.40761738388329E-4,17.0402256401303
62,630,31.5,1.8247508999999997,0.6978783000000001,0.0024255979999999997,9.00326791530785,3.93996155489465,0.875229214982197,0.694708898009334,0.536860734660444,14245.2154002011,0.0312924311428438,0.00912934998134521,5.07002016780096E-4,0.00402430364910722,5.36573819880962E-4,16.5039119209834
63,640,32.0,1.8537152,0.6928753000000001,0.0024356729999999997,9.06827723138577,3.97974154589978,0.877728248564278,0.698681753056238,0.534212164629174,14041.7032572962,0.0318778256477047,0.00932668935793242,5.14248137763823E-4,0.00409347415884635,5.45796554512847E-4,16.4536569556881
64,650,32.5,1.8826794999999998,0.6860331999999999,0.0023720779999999997,9.15871900540613,4.02691652540659,0.879362391843142,0.701285768449065,0.53247615436729,13765.7506526629,0.0316678491083314,0.00928250517881002,5.06757832254206E-4,0.00404136063932747,5.38848085243663E-4,15.865818290168
65,660,33.0,1.9116438000000002,0.6790264,0.0023585760000000002,9.2532268365112,4.07525825712521,0.880829645512446,0.703627971303783,0.530914685797478,13485.9936498789,0.0321407808873871,0.00943685087851012,5.09922162573297E-4,0.00407338125598109,5.43117500797479E-4,15.6143860085345
66,670,33.5,1.9406081000000002,0.6718225999999999,0.0022417920000000003,9.35244707037183,4.1249636449804,0.882114298844441,0.705681892140369,0.529545405239754,13201.3653464305,0.0312080019677561,0.00917634159137437,4.90585058772727E-4,0.00392462737520575,5.23283650027434E-4,14.6837946122013
67,680,34.0,1.9695724,0.6655924,0.0023115460000000003,9.43998955994628,4.17121265993335,0.883732473101821,0.708273310631735,0.527817792912176,12957.6528435351,0.0327842837558475,0.00965751205414234,5.11521331290397E-4,0.00409962197609615,5.46616263479486E-4,15.0002767458794
68,690,34.5,1.9985366999999998,0.6606599,0.002204434,9.51046871042058,4.21239733500755,0.885844318144288,0.711662460016875,0.52555835998875,12766.3141185802,0.031733726507674,0.0093703804401226,4.92635049093612E-4,0.00395769170437225,5.27692227249634E-4,14.1991852377086
69,700,35.0,2.027501,0.6533042,0.0022466070000000003,9.61754923231718,4.26436114055899,0.886787483495226,0.713178691896938,0.524547538735374,12483.6197614708,0.0330731892251242,0.00977629674803644,5.0825301289781E-4,0.00408750941615076,5.45001255486769E-4,14.3097133726568
70,710,35.5,2.0564653,0.6487989000000001,0.002168354,9.68433409362992,4.30438368818712,0.888937462621912,0.716641027719158,0.522239314853895,12312.0349982955,0.0323660606842256,0.0095904679532341,4.95153712197024E-4,0.00399181584879112,5.3224211317215E-4,13.7160376076953
71,720,36.0,2.0854296000000003,0.6435976,0.00227855,9.76259903265579,4.34776590136903,0.890698447580567,0.719483171578996,0.520344552280669,12115.4196991054,0.0345628542211125,0.0102616935328994,5.25561558892985E-4,0.00424535035712098,5.66046714282797E-4,14.2975411734479
72,730,36.5,2.1143939,0.6381678000000001,0.002104832,9.84566333052151,4.39254236816052,0.892279620113285,0.722039899487226,0.518640067008516,11911.8552150452,0.0324733827675233,0.00965844587986633,4.90492390183869E-4,0.00396910417008791,5.29213889345055E-4,13.096061378629
73,740,37.0,2.1433582,0.6329653000000001,0.00214786,9.92658729819721,4.43665408481124,0.893893127926652,0.724653587713,0.516897608191333,11718.4301514748,0.0336841842582932,0.0100366869427678,5.05545694671451E-4,0.00409831432809256,5.46441910412342E-4,13.2548326557273
74,750,37.5,2.1723225,0.626792,0.002062545,10.024354661801,4.48576366268725,0.894973055927635,0.726405578854765,0.515729614096823,11490.9655094323,0.0329865132068125,0.00984068017636608,4.9083858803725E-4,0.00398389522797303,5.31186030396403E-4,12.6041990839343
75,760,38.0,2.2012867999999997,0.622721,0.00209519,10.0898882600387,4.52522787416982,0.896982752939317,0.729671586009524,0.513552275993651,11342.1831255786,0.0339481613492247,0.0101503050747519,5.02993928830334E-4,0.00409172168138244,5.45562890850993E-4,12.720532770899
76,770,38.5,2.2302511000000003,0.6172164000000001,0.00202957,10.1798742016246,4.57197170786357,0.898237368617767,0.731714206421294,0.512190529052471,11142.5488274996,0.0334741061374765,0.0100225643379196,4.92273486853115E-4,0.00401011488009302,5.34681984012402E-4,12.2132112409998
77,780,39.0,2.2592154,0.6141907,0.002005335,10.2300235206746,4.60674642438685,0.900632616352591,0.735621800683559,0.50958546621096,11033.5712498606,0.0334010661783579,0.0100273632070602,4.90094826605E-4,0.00400301335202505,5.3373511360334E-4,12.0082175358778
78,790,39.5,2.2881797,0.6071571,0.002023595,10.3485330356502,4.66201044723562,0.900999287758992,0.73622090487489,0.50918606341674,10782.3093423749,0.0344906445272181,0.010358682051124,5.00490360104125E-4,0.00408958664899168,5.45278219865557E-4,11.97879278893
79,800,40.0,2.317144,0.6027585,0.001965224,10.4240509377795,4.70434716783557,0.902594815761262,0.738830676393118,0.507446215737921,10626.6485711643,0.0339864059654851,0.0102253179436015,4.90467573721375E-4,0.00401478584757685,5.35304779676913E-4,11.5489839969727
80,810,40.5,2.3461083,0.5998015999999999,0.00192009,10.4754393905911,4.73937991396172,0.90485558404711,0.742536473945233,0.504975684036511,10522.6438487867,0.0335340659636122,0.0101144956143262,4.82771902790583E-4,0.00396169016070621,5.28225354760828E-4,11.2283924259937
81,820,41.0,2.3750726,0.5932491999999999,0.0019391529999999999,10.5911399580136,4.79378008923931,0.905243459767934,0.743173202291248,0.504551198472502,10293.9950261094,0.0346192473972184,0.0104462824294733,4.93161381630566E-4,0.00404868236581041,5.39824315441388E-4,11.2159900296341
82,830,41.5,2.4040369,0.5888323000000001,0.001946821,10.6705853384395,4.83722785188393,0.906647142300323,0.745479737655023,0.503013508229985,10141.2825148463,0.0352795178171545,0.0106620246702188,4.99598866043936E-4,0.00410789174988444,5.47718899984592E-4,11.1765051876601
83,840,42.0,2.4330012,0.5842602,0.001957976,10.7540874890667,4.88188064441939,0.907911647433154,0.747560636119165,0.501626242587223,9984.40611635356,0.0360391572205206,0.0109067902013951,5.07099752186491E-4,0.00417538220147478,5.56717626863305E-4,11.1532655884447
84,850,42.5,2.4619655,0.5790613,0.001855378,10.8506393143171,4.93046876503118,0.908788620136982,0.749005505560007,0.500662996293328,9807.50896060908,0.0347666774998072,0.0105318536239324,4.85310280751656E-4,0.00399983080920481,5.33310774560642E-4,10.4747898943324
85,860,43.0,2.4909298,0.5767861,0.001796351,10.8934409258122,4.96273658256028,0.911142148079401,0.752889990802694,0.498073339464871,9730.59065460637,0.0339266905019445,0.0103040125537222,4.72945721370129E-4,0.00390801918847793,5.21069225130391E-4,10.1016975807801
86,870,43.5,2.5198941,0.5721263000000001,0.001876609,10.9821647898018,5.00891205628354,0.912190292561423,0.75462318114735,0.4969178792351,9574.00072627058,0.0360221672802407,0.0109530237700198,4.98673257033573E-4,0.00412534975042442,5.50046633389923E-4,10.4677678855909
87,880,44.0,2.5488584,0.5669153,0.00176228,11.0831111934703,5.05879448033487,0.912883466028075,0.755770493318581,0.496153004454279,9400.39250383228,0.0344523162349453,0.0104836499524174,4.72956093709224E-4,0.00391557382253713,5.22076509671617E-4,9.7405048582822
88,890,44.5,2.5778227000000005,0.5635729,0.001753803,11.1488421589817,5.09794170745646,0.914523972043044,0.758489263293136,0.494340491137909,9289.8742313595,0.0346944873058102,0.0105763134463022,4.74323400380267E-4,0.003933950530716,5.245267374288E-4,9.6364991388461
89,900,45.0,2.6067869999999997,0.5582563,0.001858394,11.2550190784763,5.14940059110659,0.915040757408243,0.759346729938468,0.493768846707688,9115.42447848444,0.0374671274203728,0.0114279828842164,5.07683852178929E-4,0.0042130153206131,5.61735376081747E-4,10.1148583295693
