,Frame,t,thickness,q_y,q_y Fehler,Distance,Radius,2R/D,Coverage,Porosity,Particle Density,Fehler Distance,Fehler Radius,Fehler 2R/D,Fehler Coverage,Fehler Porosity,Fehler Particle Density
34,350,17.5,0.7882979999999999,1.010501,0.0031695,6.21789123135909,2.32710633308576,0.748519472759292,0.508119024553581,0.661253983630946,29866.4171620793,0.0195028072785605,0.00486607700715805,3.91296407905679E-4,0.00265624551307153,3.54166068409537E-4,31.2259658641969
35,360,18.0,0.8108208,0.9907303,0.003136288,6.34197349892255,2.38020985132401,0.750621191251709,0.510976458367091,0.659349027755273,28709.1624319937,0.0200763571892258,0.00502324638312382,3.9603180177095E-4,0.00269593944093431,3.59458592124574E-4,30.2942188624266
36,370,18.5,0.8333436,0.9840571,0.002997077,6.38498041138018,2.41289498238779,0.755803409541305,0.518056280577528,0.654629146281648,28323.7159197328,0.0194463084879913,0.00489919541940527,3.8364999606524E-4,0.00262968236840534,3.50624315787379E-4,28.7545500959124
37,380,19.0,0.8558664,0.9673004000000001,0.00289381,6.49558845130178,2.4624740678894,0.758198918035179,0.521345429274043,0.652436380483971,27367.3260486087,0.0194324315551421,0.00491121619330047,3.7804243835031E-4,0.00259945896277847,3.46594528370462E-4,27.2910193471522
38,390,19.5,0.8783892,0.9583424999999999,0.00295269,6.55630456457852,2.49934235179789,0.762424114737129,0.527172197539166,0.648551868307222,26862.7907055711,0.0202002258323985,0.00513371309925217,3.91509656749922E-4,0.00270706293409702,3.60941724546269E-4,27.5884294979553
39,400,20.0,0.900912,0.9500966000000001,0.0027166770000000002,6.61320681200163,2.53508698834016,0.766674038906355,0.53306573155693,0.644622845628713,26402.5065757499,0.0189096001842425,0.00483249984911918,3.65367361591443E-4,0.0025403862660016,3.38718168800213E-4,25.1648384514053
40,410,20.5,0.9234348,0.9370440999999999,0.0027163770000000003,6.7053250825437,2.57972043322512,0.769454247622096,0.536938879949991,0.642040746700006,25682.0503234287,0.0194379227527763,0.00498553074235798,3.71759063206127E-4,0.00259420096290366,3.45893461720489E-4,24.816381218132
41,420,21.0,0.9459576,0.9256718,0.00257789,6.78770305758433,2.6217812479819,0.772509117072355,0.541210827978962,0.639192781347358,25062.4600932739,0.0189029760171111,0.00486757377100613,3.58558243467007E-4,0.00251201700454864,3.34935600606485E-4,23.2653608078119
42,430,21.5,0.9684804,0.916434,0.0026571579999999997,6.85612418044244,2.66015372710784,0.775993449679953,0.546104003387587,0.635930664408275,24564.7313092847,0.0198790149809545,0.00514199513710346,3.74992853234146E-4,0.00263900550291193,3.51867400388257E-4,23.7414341226669
43,440,22.0,0.9910032,0.9099656999999999,0.002461879,6.90485949874769,2.69330531979554,0.780118790334261,0.551925839626993,0.632049440248671,24219.1934701306,0.0186808454405671,0.00485775951583884,3.51763820590403E-4,0.00248869203556255,3.31825604741674E-4,21.8413814209524
44,450,22.5,1.013526,0.9042757,0.0023630120000000003,6.94830714480063,2.72492765146788,0.784342889478317,0.557919032889201,0.628053978073866,23917.2560283662,0.0181569992015152,0.00474710440599065,3.4160150861659E-4,0.00242988093444211,3.23984124592282E-4,20.8331607281944
45,460,23.0,1.0360488,0.8923120999999999,0.0024661279999999997,7.04146599287356,2.76944535808804,0.786610447566149,0.561149616280169,0.62590025581322,23288.5900446675,0.0194608550596515,0.00510270396949748,3.6233250111992E-4,0.00258479587448118,3.44639449930824E-4,21.454617351065
46,470,23.5,1.0585716,0.8840216999999999,0.002510418,7.10750121538825,2.80678220132226,0.78980843372784,0.565721629292067,0.622852247138622,22857.855506924,0.0201836662902421,0.00531374328652718,3.73812337521839E-4,0.00267753186217814,3.57004248290419E-4,21.6370148326982
47,480,24.0,1.0810944,0.8769802,0.002396416,7.16456917405842,2.8416588089051,0.79325322705913,0.570667243695179,0.619555170869881,22495.1662933883,0.0195777375610309,0.00517670116626816,3.6127093203399E-4,0.00259898705707576,3.46531607610101E-4,20.4899253248577
48,490,24.5,1.1036172,0.8706898999999999,0.002322205,7.21632961078288,2.87502130464758,0.796809863105926,0.575796011432661,0.616135992378226,22173.6222665801,0.0192465729805848,0.00511195306063933,3.54193429094541E-4,0.00255949597502889,3.41266130003852E-4,19.7129871747158
49,500,25.0,1.12614,0.8576295,0.002342402,7.32622339504365,2.92375900505619,0.798162667830788,0.577752816521052,0.614831455652632,21513.400079866,0.0200097598473432,0.00532368110080295,3.63330519268941E-4,0.00262998057032892,3.50664076043856E-4,19.5861699307522
50,510,25.5,1.1486628,0.8536950999999999,0.00216435,7.35998754962936,2.95215786857534,0.802218169166334,0.583638909809213,0.610907393460524,21316.4661550593,0.0186595765315278,0.00498968377418045,3.38973655901886E-4,0.00246613979324619,3.28818639099492E-4,18.0143525569815
51,520,26.0,1.1711856,0.8445733,0.002196027,7.4394789737961,2.99268445513355,0.804541410944129,0.587024267455422,0.608650488363052,20863.363605249,0.0193438469963336,0.00518764198517252,3.48656270381624E-4,0.00254392985780971,3.39190647707962E-4,18.0827051119361
52,530,26.5,1.1937084,0.8399931,0.002194518,7.4800439517653,3.02268475625894,0.808199731378739,0.592374906543714,0.605083395637524,20637.6892511722,0.0195419356336857,0.00526459570992179,3.51909410149879E-4,0.00257934141593643,3.43912188791524E-4,17.9722827644274
53,540,27.0,1.2162312,0.8339620000000001,0.002185494,7.53413861444477,3.05622358963145,0.811300069200194,0.596928446658578,0.602047702227615,20342.3984175278,0.0197440827484194,0.00533945856669567,3.54350964319839E-4,0.00260720020536835,3.47626694049114E-4,17.7698702847038
54,550,27.5,1.2387540000000001,0.8251487,0.002110705,7.61460971480605,3.09683068598805,0.813391835425652,0.600010523147849,0.599992984568101,19914.7138797827,0.0194779374894364,0.0052810651082796,3.46771883660101E-4,0.00255801411159948,3.41068548213265E-4,16.9804085654003
55,560,28.0,1.2612768,0.8196379999999999,0.002015882,7.66580527889091,3.12943544653845,0.816466198314711,0.604554793450907,0.596963471032729,19649.6039552897,0.018853882905894,0.00513118603321534,3.34680170349808E-4,0.00247814914659765,3.3041988621302E-4,16.1092591772617
56,570,28.5,1.2837996,0.8127076999999999,0.002026985,7.73117482113137,3.16582385515006,0.818976139692771,0.608277493666407,0.594481670889062,19318.7214495565,0.0192824251509011,0.00526394870466659,3.40436533027219E-4,0.00252852154081023,3.37136205441364E-4,16.0610260398375
57,580,29.0,1.3063223999999998,0.8033764,0.0020318470000000003,7.82097321651419,3.2088395099311,0.82057294433781,0.610651792941204,0.592898804705864,18877.6430996545,0.0197802934801852,0.00541039122030053,3.45889895702261E-4,0.0025740342333768,3.4320456445024E-4,15.9146997178009
58,590,29.5,1.3288452,0.7992604,0.00213085,7.86124935900689,3.23824610310778,0.823850244464671,0.61553931867224,0.589640454218506,18684.7040617663,0.0209583049487249,0.00575550155185737,3.66067865870653E-4,0.00273507432036072,3.64676576048097E-4,16.604643346947
59,600,30.0,1.3513680000000001,0.7977211999999999,0.002034035,7.87641760953525,3.26062639032873,0.827946549299618,0.621675640610772,0.585549572926152,18612.8080832972,0.0200833437702433,0.00554264505765698,3.51850633906652E-4,0.00264192137062784,3.52256182750379E-4,15.819688670557
60,610,30.5,1.3738908,0.7907289000000001,0.001986588,7.94606761834503,3.29794125485418,0.830081346712995,0.624885660703232,0.583409559531179,18287.9428313535,0.0199633054739656,0.00552372249755743,3.47575855307653E-4,0.00261655280953458,3.48873707937944E-4,15.3152396366832
61,620,31.0,1.3964136,0.7845649,0.001944301,8.00849656565007,3.3332101202352,0.832418442815336,0.628409348478817,0.581060434347455,18003.932704798,0.0198465772316477,0.0055068856381275,3.43815196334576E-4,0.00259552975298095,3.46070633730793E-4,14.8723895082363
62,630,31.5,1.4189364,0.7810375,0.0019527879999999998,8.04466534216294,3.36111705374859,0.835613890893042,0.633243224191265,0.577837850539157,17842.4054468797,0.0201136641252074,0.00560241904659345,3.48207091799741E-4,0.00263877592151894,3.51836789535859E-4,14.8701503866338
63,640,32.0,1.4414592,0.7743116,0.001939248,8.11454368910344,3.39834546708012,0.837593732262128,0.636247497773605,0.575835001484263,17536.4290544783,0.0203227132591149,0.00567405908279836,3.49622806912589E-4,0.00265578200378777,3.54104267171703E-4,14.6398792471657
64,650,32.5,1.463982,0.7654122,0.002022675,8.2088909834199,3.44238079729677,0.838695703049194,0.637922742807667,0.574718171461555,17135.6424646032,0.021692780138452,0.00606454716310353,3.69388945190803E-4,0.00280961984450666,3.74615979267554E-4,15.0941917841093
65,660,33.0,1.4865048,0.7642732,0.001868909,8.22112473285677,3.46338099635629,0.842556489263433,0.643809388093847,0.570793741270769,17084.6817537604,0.020103457773161,0.00564609960113673,3.43389729787907E-4,0.00262388972881487,3.49851963841983E-4,13.9259606345561
66,670,33.5,1.5090276000000002,0.7562536,0.00202321,8.30830465756406,3.50534963640265,0.843818271206823,0.645739122994575,0.56950725133695,16728.020100834,0.0222272595677299,0.00625192258070239,3.76245385694331E-4,0.00287924987736445,3.83899983648594E-4,14.91752570311
67,680,34.0,1.5315504,0.753974,0.0018595679999999998,8.33342437163561,3.5298000315556,0.847142752880783,0.650837322075596,0.566108451949603,16627.3244570632,0.0205531878976114,0.00580382805868618,3.48225879294028E-4,0.00267532712741083,3.56710283654777E-4,13.6696316168162
68,690,34.5,1.5540732,0.7443211,0.001832345,8.44149830923722,3.5776198232825,0.847626734549633,0.651581195081033,0.565612536612645,16204.3006612181,0.0207810005915985,0.00587151055737689,3.47776564200215E-4,0.00267340162935225,3.564535505803E-4,13.2970699944239
69,700,35.0,1.5765959999999999,0.7413187,0.001823723,8.47568705224836,3.60451984903389,0.850555200260186,0.656091268476122,0.562605821015919,16073.8363551739,0.02085109335295,0.00591166862748741,3.4874273855588E-4,0.00269009072710356,3.58678763613808E-4,13.181116776166
70,710,35.5,1.5991188,0.7338019,0.0018376820000000002,8.56250891034704,3.64629336071568,0.851688073879715,0.657840157855317,0.561439894763122,15749.5190261556,0.021443346629907,0.0060876808629202,3.5548464396713E-4,0.00274574790318721,3.66099720424962E-4,13.1473301913517
71,720,36.0,1.6216416,0.7297859,0.001779746,8.60962825834205,3.67675957183672,0.854104140506702,0.66157777044553,0.558948153036314,15577.6007228323,0.0209965024732202,0.00597773323284553,3.47153968410516E-4,0.00268900872305916,3.58534496407889E-4,12.6631534792409
72,730,36.5,1.6441644,0.7263824999999999,0.0017148679999999998,8.64996789870294,3.70523208974308,0.856704240555316,0.665611907774179,0.556258728150547,15432.6453796733,0.0204211323242409,0.00583162355303947,3.37089317632839E-4,0.00261899793625923,3.49199724834564E-4,12.1446344118283
73,740,37.0,1.6666872,0.7179605,0.00173173,8.7514359176857,3.75112541051981,0.857259413381338,0.666474864580323,0.555683423613118,15076.8541735931,0.0211085764770261,0.00603184196267016,3.44620129736679E-4,0.00267924330386719,3.57232440515625E-4,12.1218556722069
74,750,37.5,1.6892099999999999,0.7161642,0.001722904,8.7733864764248,3.77424476371715,0.860384932057654,0.671343582260022,0.552437611826652,15001.5055337192,0.0211064762156195,0.00605323136825077,3.4497690170817E-4,0.00269179550176277,3.58906066901703E-4,12.0299012852392
75,760,38.0,1.7117328,0.7131801999999999,0.0017480829999999999,8.81009499026976,3.80151222021878,0.862990064106534,0.67541521669822,0.549723188867853,14876.7541605002,0.0215945104489381,0.00621194931889276,3.52547238466413E-4,0.00275919479689115,3.67892639585487E-4,12.1548527955719
76,770,38.5,1.7342556,0.7064189000000001,0.001815561,8.89441846357676,3.84243692106583,0.864010825845639,0.677013950635895,0.548657366242737,14596.0133476584,0.0228594666424552,0.00658360888404618,3.70097770360508E-4,0.0028999793305607,3.86663910741427E-4,12.5043618309608
77,780,39.0,1.7567784,0.7009071,0.001722662,8.96436247710943,3.87920388823823,0.865472340759046,0.679306289620364,0.547129140253091,14369.1325223645,0.0220322587594594,0.00635610352025278,3.54520666499326E-4,0.00278262062473518,3.71016083298025E-4,11.7719635832107
78,790,39.5,1.7793012,0.6972805000000001,0.001713104,9.01098669356104,3.90920754953911,0.867653606087889,0.68273474001519,0.54484350665654,14220.8210538829,0.0221385186430514,0.00640285517802916,3.55280470151201E-4,0.00279561241628245,3.72748322170994E-4,11.6460761633666
79,800,40.0,1.801824,0.6919675000000001,0.001692422,9.08017400698673,3.94570164209356,0.869080623137297,0.684982354257772,0.543345097161485,14004.9326936258,0.0222083931011969,0.00643362803842209,3.54267882612808E-4,0.00279222941818714,3.72297255758286E-4,11.4178080132432
80,810,40.5,1.8243468,0.6842179,0.001692984,9.18301802273748,3.99193471582102,0.869416722462451,0.685512262801919,0.542991824798721,13692.9964310493,0.0227218589051911,0.00658492136586851,3.58537974637751E-4,0.00282697781103419,3.76930374804558E-4,11.2936847895111
81,820,41.0,1.8468696,0.6809521,0.001640954,9.22705915317625,4.02110073930314,0.871588806910151,0.688941804646281,0.540705463569146,13562.5939206179,0.0222353079249497,0.00646001516852893,3.50058185456912E-4,0.00276701256495999,3.68935008661332E-4,10.8943505935359
82,830,41.5,1.8693924,0.6775783000000001,0.001688361,9.27300255509893,4.05077153864865,0.873669885148745,0.692235682325213,0.538509545116524,13428.5341948695,0.0231060762526329,0.00672902766195865,3.62828955452976E-4,0.00287480607738441,3.83307476984589E-4,11.1535515141616
83,840,42.0,1.8919152,0.6738135000000001,0.001689184,9.3248136274794,4.08210967147992,0.875536999356278,0.695197588596674,0.536534940935551,13279.7239536075,0.0233763882476682,0.00682229760738358,3.65814153501089E-4,0.00290465300239133,3.8728706698551E-4,11.0969861476757
84,850,42.5,1.914438,0.6683659000000001,0.0016982979999999998,9.40081668915124,4.12048335595831,0.876622423818441,0.69692236369491,0.535385090870059,13065.8659975729,0.0238871973892626,0.00698001762453498,3.71245278752754E-4,0.0029514318838886,3.93524251185147E-4,11.0666597901669
85,860,43.0,1.9369608,0.666247,0.001589269,9.43071459560731,4.14534503377256,0.879115785288085,0.700892489365557,0.532738340422962,12983.1526856291,0.0224960748110629,0.00659221815780903,3.49507881453627E-4,0.00278652087909717,3.71536117212956E-4,10.3233595976353
86,870,43.5,1.9594836,0.6598009,0.0017001870000000001,9.52285046470774,4.18841005493127,0.879654693823823,0.701752063778825,0.532165290814117,12733.1377911634,0.0245386548624594,0.00719518097662839,3.77785044682481E-4,0.00301381254067181,4.01841672089575E-4,10.9369939435491
87,880,44.0,1.9820064,0.6553747,0.001598471,9.58716488015114,4.22330540101189,0.881033225944751,0.703953258811849,0.530697827458767,12562.8731731548,0.0233832722458466,0.00686714659330088,3.58142718892753E-4,0.00286159167055181,3.81545556073575E-4,10.2136932475249
88,890,44.5,2.0045292000000003,0.651386,0.0017277770000000002,9.64587096925569,4.25653067121094,0.882560151338909,0.706395426758336,0.529069715494443,12410.4197888702,0.0255853119435292,0.0075268589269781,3.90159631565075E-4,0.00312281241142793,4.16374988190391E-4,10.9727247600014
89,900,45.0,2.027052,0.646494,0.001587255,9.71886097501228,4.29393911782307,0.88363011444716,0.708109248074646,0.527927167950236,12224.7117857816,0.0238614908674993,0.00702824396870943,3.6157755454983E-4,0.00289755188383476,3.86340251177969E-4,10.0045965394578
